Address|ProjectDescription|PermitNumber
2632 WARD STREET, Vancouver, BC V5R 4S6|"High Density Housing / Commercial - New Building - Building Permit for DP-2017-01132 & DP-2021-00452

To construct a new 3-storey Multiple Dwelling containing 3 dwelling units with 3 surface parking spaces having vehicular access from the lane. 

Note:  This is a 2 1/2 storey building pursuant to the Zoning & Development By-law. 

Sch A, Arch B, Stru B, Geotech B, & Sch D are submitted. 

******THIS PERMIT HAS BEEN ISSUED UNDER THE REQUIREMENTS OF VBBL 2019********

Building Review Branch Notes:
- Building to be sprinklered to NFPA 13R. Sprinkler valve room shall be separated by 1h FRR from the rest of the building as per VBBL 9.10.10.3. 
- All new windows, doors and skylights shall conform to VBBL 5.9.2.2. 
- No roof projections on southeast and northwest sides are permitted without a revision to this BP.
- Trellis must not connected tot the building. 
- Metering equipment shall conform to VBBL 10.2.2.9. 
- Min 11"" run shall be provided at all exterior stairs as per VBBL T.9.8.4.2."|BP-2021-01667
3137 W BROADWAY, Vancouver, BC V6K 2H2|"Certified Professional Program - New Building - To construct a new building 6 storey mixed use residential building with commercial units on the ground floor (2 retail and 2 restaurant) and 40 residential units on floor 2 through 6 and 2 levels of underground parking garage.  The new 6 storey building will be construction adjacent to an existing heritage theater building that will be rehabilitated and renovated under BP-2018-05558. Permit issued under the 2014 VBBL.

This permit is related to BP-2018-05558.  

Stage 1 - excavation and shoring - accepted Nov.27/19

Stage 2 - full construction - issued during 2020 pandemic - accepted July 6/20

Stage 3 - BP revision #1 - To alter the P3 layout to delete the elevator stop, elevator to stop at P2. To provide accessible ramp from P3 to P2. To add a service room on P3. - accepted Jan.18/21

Revision #2 - to change mechanical/plumbing EOR from J Tessier to     O Milli effective Nov.26/21 - accepted Jan.11/22

Revision #3
- removing demising wall between C1 and C2
- Moving demising wall between C3 and C4
- Moving washroom in C4
- adding partition wall in C4
Accepted Apr.20/22"|BP-2018-06626
7302 GRANVILLE STREET, Vancouver, BC V6P 1S9|"Certified Professional Program - New Building - To construct 3-storey building containing 6 dwelling units.

This permit is related to BP-2016-01092."|BP-2017-00706
4932 CAMBIE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Sub-Building Permit for BP-2017-00982 - To develop a six storey mixed-use building (Building A) with one level of Retail (first floor) and six levels of Residential (1st to 6th floors) containing 46 dwelling units over two levels of underground parking having vehicular access from the lane and provide vehicular access to the building at 4986 Cambie St.

Building A (apartment building facing Cambie St) - BP-2018-01379
Building B (apartment building facing W 33rd Av) - BP-2018-01380
Building C (townhouse at rear) - BP-2018-01381

See site permit BP-2017-00982 for details

Stage #1 - excavation and structure up to grade - issued 2018 Jan. 08
Stage #2 - Structural work up to roof - issued 2018 Nov.06
Stage #3 - Full construction - issued 2019 Jan.10"|BP-2018-01379
4908 CAMBIE STREET, Vancouver, BC V5Z 2Z5|"Certified Professional Program - New Building - Sub - Building Permit for BP-2017-00982 - To develop a six storey multiple dwelling building (Building B) containing 27 dwelling units over two levels of underground parking having vehicular access from the lane and provide vehicular access to the building at 4986 Cambie St.

Building A (apartment building facing Cambie St) - BP-2018-01379
Building B (apartment building facing W 33rd Av) - BP-2018-01380
Building C (townhouse at rear) - BP-2018-01381

See site permit BP-2017-00982 for details

Stage #1 - excavation and structure up to grade - issued 2018 Jan. 08
Stage #2 - Structural work up to roof - issued 2018 Nov.06
Stage #3 - Full construction - issued 2019 Jan.10"|BP-2018-01380
4916 CAMBIE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-00982 - To develop townhouse homes along lane (Building C) containing 5 dwelling units over two levels of underground parking having vehicular access from the lane and provide vehicular access to the building at 4986 Cambie St.

Building A (apartment building facing Cambie St) - BP-2018-01379
Building B (apartment building facing W 33rd Av) - BP-2018-01380
Building C (townhouse at rear) - BP-2018-01381

See site permit BP-2017-00982 for details

Stage #1 - excavation and structure up to grade - issued 2018 Jan. 08
Stage #2 - Structural work up to roof - issued 2018 Nov.06
Stage #3 - Full construction - issued 2019 Jan.10"|BP-2018-01381
3321 E 5TH AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To construct a 6-storey residential building consisting of:
  Basement - storage rooms
  1st to 6th storey - 64 dwelling units; indoor & outdoor amenity on Level 6

*This permit has been reviewed under the provisions of VBBL 2019.*
**This is a CP process and the applicant is Bill May, P.Eng.**

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring (S.Yoo, Oct. 4, 2022)
Stage 2: Full Construction - In Review"|BP-2022-01294
2892 E 10TH AVENUE, Vancouver, BC V5M 2B3|"Certified Professional Program - New Building - To construct an 8-storey high-rise mixed-use building consisting of:

1st  storey            - 5 CRU units (Retail shell, Group E)
1st to 7th storeys  - 81 rental dwelling units 
8th storey            - Amenity space,

all over two levels of underground parkade.

Building is TIPs eligible as at the time of construction
This Permit has been issued under the VBBL 2019.

27-Aug-2021 - Stage 1 (Excavation and Shoring)  issued.
04-Feb-2022 - Stage 2 (Foundation to Grade, Structural only) issued.
08-Apr-2022 - Stage 2 REV 1 (Foundation to Grade, Structural only) issued. 
28-Jul-2022  - Stage 3 (Full Permit) issued."|BP-2020-02039
1551 GRANT STREET, Vancouver, BC V5L 2Y3|"Certified Professional Program - New Building - To develop a 6 storey Multiple Dwelling containing 35 Secured Market Rental Dwelling Units, all over one level of non-combustible underground parking. 

VBBL 2019 - NFPA 13.

STAGE 1 - Excavation and Shoring issued on July 29, 2022.
STAGE 2 - Foundation to Grade issued on Oct. 28, 2022."|BP-2020-03812
8636 OAK STREET, Vancouver, BC V6P 4B3|"Certified Professional Program - New Building - To construct two 6-storey multiple dwelling buildings, containing a total of 90 secured market rental units, over two levels of underground parking, having vehicular access from the existing lane.  

VBBL2019 - Reviewed during 2020/21 pandemic.

Building 1 - North is under BP-2021-05107.
Building 2 - South is under BP-2021-05108.

Stage #1 for Excavation and Shoring issued on Sept. 29th, 2021. 
Rev. #1 (Dec. 10, 2021) - Revised excavation and shoring plans to reflect updated information from Fortis."|BP-2021-01864
1680 ADANAC STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a six-storey mixed-use building, containing 3 commercial retail shell units on 1st storey and 38 multiple dwelling units (secured market rental), all over one level of underground parking having vehicular access from the lane.

Separate tenant improvement permits required for all shell tenant spaces.

This is a CP project. The CP is Ron Bijok, Architect.
This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements. 
The retail shell portions of the building are TIPs eligible at the time of construction.

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued June 10, 2022
Stage 2 - Foundation to Grade - issued June 30, 2022
Stage 3 - Full Construction - in review"|BP-2020-02219
933 E HASTINGS STREET, Vancouver, BC V6A 0G3|"Certified Professional Program - New Building - Building Permit BU4614328 carried over from PRISM to POSSE

See BU4614328 for details

To construct a 12-storey mixed-use building, consisting of 3 Residential towers and 6 storey Podium, all over 2 levels of above grade parking and 3 levels of below grade parking, containing 280 market dwelling units & 70 non-market dwelling units  for a total of 350 dwelling units. There is industrial flex space PDR = Production  Design Repair (Repair Shop Class B) at the lane level (P2 level) and the Hastings St  level (1st level) with both including mezzanines and 3 general Office units on the north side of the Hastings St level (1st level) with one including a mezzanine.  

Revision #3 - Interior alteration to install an office display suite in Suite 939 E Hastings - approved 2018 June 12"|BP-2018-03187
3435 SAWMILL CRESCENT, Vancouver, BC|"Certified Professional Program - New Building - To construct a 7-storey mixed use building with retail/restaurant CRUs on Level 1, parking/loading on Level 1, 2-level townhouse suites on Level 1 and Upper Townhouse Level, residential suites on Levels 2 to 6 with 3 levels of underground parking.
NOTE: A Housing Agreement has been enacted by Council on January 20, 2021 which requires the dwelling units to be for-profit affordable rental.  The 2019 VBBL applies to this application.

This is a CP Process permit application and the applicant is Barry Thorson, P. Eng., CP, FEC.

STAGED CONSTRUCTION

Stage 1: Excavation & Shoring (Sept. 9/21. B. Smith)
Stage 2 (foundation to grade) issued May 31/ 22
Stage 3 (full BP) issued Sept 27/ 22"|BP-2020-03832
616 E CORDOVA STREET, Vancouver, BC V6A 1L9|"Certified Professional Program - New Building - To develop a new 7 storey mixed-use building containing Social Service Centre at Levels 1-2, Child Day Care Facility at Level 7, and 63 units of Social Housing at Levels 2-7, all over one level of underground parking providing 21 parking spaces having vehicular access from the lane under the SHORT Program.  

Class-1 Cooking operation.

Stage #1 - Excavation, shoring, and structural work up to grade - issued 2019-05-13
Stage # 2 - Full Construction (excluding kitchen)- issued 2019-05-27
Stage # 3 - Full construction with Kitchen and daycare revision - issued 2019-09-13"|BP-2018-05868
433 SW MARINE DRIVE, Vancouver, BC V5X 2R9|"Certified Professional Program - New Building - To construct 22-storey building.
This permit is related to BU468348."|BP-2017-00890
1753 W 11TH AVENUE, Vancouver, BC V6J 2C1|"High Density Housing / Commercial - New Building - To construct a new four storey multiple dwelling building consisting of
four dwelling units with one level of underground parking providing six parking
spaces and a parking pad providing three parking spaces, both having vehicular
access from the lane, on this site.
Address Note:
1753 West 11th Av-#101/#201/#301, 1st, 2nd & 3rd storeys(multiple dwelling building)
1755 West 11th Av-1st storey (one dwelling unit)
APPLICANT:  Lucio Picciano, 778.889.6849  (lucio@dlpdesigns.com)

THIS PERMIT HAS BEEN CONVERTED FROM PRISM."|BU468700
4082 MACDONALD STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Sub-Building Permit for BP-2017-05933 To develop a three-storey, mixed-use building containing 6 dwelling units and commercial retail units (first floor), all over one level of underground parking, having vehicular access from the lane.  

Building 1 - 4082 MacDonald St - BP-2018-03974
Building 2 - 2789 Alamein Av - BP-2018-03975

See site permit BP-2017-05933 for details

Stage #1 - excavation and shoring only - issued July 23, 2018
Stage #2 - Structural work up to roof - issued Aug. 29, 2018
Stage #3 - Full construction - issued Jan. 2019

Revision # 1 - Shoring design changes - issued Oct.10, 2018
Revision # 2 - various minor layout adjustments as described by the list of changes submitted - issued Jan.16, 2019
Revision #3 - Changes of roof access hatch as approved by DP-2019-00573 - issued 2019-09-06"|BP-2018-03974
